Name,Thai Name,Coordinates
Ko Hin Muang,เกาะหินม่วง,
Ko Hin Daeng,เกาะหินแดง,
Ko Rok Nok,เกาะรอกนอก,
Ko Rok Nai,เกาะรอกใน,
Ko Ngai,เกาะไหง,7.414811° 99.154858°
Ko Kradan,เกาะกระดาน,7.308577° 99.255441°
Ko Muk,เกาะมุก,7.373312° 99.295516°
Ko Racha Yai,เกาะราชาใหญ่,7.598466° 98.366353°
Ko Sukhon,เกาะสุกร,
Ko Libong,เกาะลิบง,
Ko Saray,เกาะสาหร่าย,
Ko Lao Liang,,
Ko Bulon,,
Ko Don,,
Ko Tarutao,เกาะตะรุเตา,
Ko Klang (Satun),เกาะกลาง,
Ko Lek,เกาะเหล็ก,
Ko Adang,เกาะอาดัง,
Ko Rawi,เกาะราวี,
Ko Lipe,เกาะหลีเป๊ะ,
Ko Lamphu,เกาะลำพู,09.135°N 99.301°E
Ko Lamphu Rai,เกาะลำพูราย,12.2°N 102.583°E
